10C ntdll!ZwQueryVolumeInformationFile
10D ntdll!NtQueueApcThread
10E ntdll!ZwQueueApcThreadEx
10F ntdll!ZwRaiseException
110 ntdll!NtRaiseHardError
111 ntdll!NtReadFile
112 ntdll!NtReadFileScatter
113 ntdll!NtReadOnlyEnlistment
114 ntdll!ZwReadRequestData
115 ntdll!ZwReadVirtualMemory
116 ntdll!ZwRecoverEnlistment
117 ntdll!NtRecoverResourceManager
118 ntdll!ZwRecoverTransactionManager
119 ntdll!ZwRegisterProtocolAddressInformation
11A ntdll!ZwRegisterThreadTerminatePort
11B ntdll!ZwReleaseKeyedEvent
11C ntdll!NtReleaseMutant
11D ntdll!NtReleaseSemaphore
11E ntdll!NtReleaseWorkerFactoryWorker
11F ntdll!NtRemoveIoCompletion
120 ntdll!ZwRemoveIoCompletionEx
121 ntdll!ZwRemoveProcessDebug
122 ntdll!ZwRenameKey
123 ntdll!NtRenameTransactionManager
124 ntdll!ZwReplaceKey
125 ntdll!ZwReplacePartitionUnit
126 ntdll!ZwReplyPort
127 ntdll!NtReplyWaitReceivePort
128 ntdll!NtReplyWaitReceivePortEx
129 ntdll!ZwReplyWaitReplyPort
12A ntdll!ZwRequestPort
12B ntdll!ZwRequestWaitReplyPort
12C ntdll!NtResetEvent
12D ntdll!ZwResetWriteWatch
12E ntdll!NtRestoreKey
12F ntdll!ZwResumeProcess
130 ntdll!ZwResumeThread
131 ntdll!ZwRollbackComplete
132 ntdll!ZwRollbackEnlistment
133 ntdll!ZwRollbackTransaction
134 ntdll!ZwRollforwardTransactionManager
135 ntdll!NtSaveKey
136 ntdll!NtSaveKeyEx
137 ntdll!NtSaveMergedKeys
138 ntdll!ZwSecureConnectPort
139 ntdll!ZwSerializeBoot
13A ntdll!ZwSetBootEntryOrder
13B ntdll!NtSetBootOptions
13C ntdll!ZwSetContextThread
13D ntdll!ZwSetDebugFilterState
13E ntdll!ZwSetDefaultHardErrorPort
13F ntdll!NtSetDefaultLocale
140 ntdll!NtSetDefaultUILanguage
141 ntdll!ZwSetDriverEntryOrder
142 ntdll!ZwSetEaFile
143 ntdll!ZwSetEvent
144 ntdll!NtSetEventBoostPriority
145 ntdll!ZwSetHighEventPair
146 ntdll!NtSetHighWaitLowEventPair
147 ntdll!NtSetInformationDebugObject
148 ntdll!ZwSetInformationEnlistment
149 ntdll!ZwSetInformationFile
14A ntdll!ZwSetInformationJobObject
14B ntdll!ZwSetInformationKey
14C ntdll!ZwSetInformationObject
14D ntdll!ZwSetInformationProcess
14E ntdll!ZwSetInformationResourceManager
14F ntdll!ZwSetInformationThread
150 ntdll!ZwSetInformationToken
151 ntdll!NtSetInformationTransaction
152 ntdll!ZwSetInformationTransactionManager
153 ntdll!ZwSetInformationWorkerFactory
154 ntdll!NtSetIntervalProfile
155 ntdll!NtSetIoCompletion
156 ntdll!ZwSetIoCompletionEx
157 ntdll!ZwSetLdtEntries
158 ntdll!ZwSetLowEventPair
159 ntdll!ZwSetLowWaitHighEventPair
15A ntdll!ZwSetQuotaInformationFile
15B ntdll!ZwSetSecurityObject
15C ntdll!NtSetSystemEnvironmentValue
15D ntdll!NtSetSystemEnvironmentValueEx
15E ntdll!ZwSetSystemInformation
15F ntdll!ZwSetSystemPowerState
160 ntdll!ZwSetSystemTime
161 ntdll!ZwSetThreadExecutionState
162 ntdll!ZwSetTimer
163 ntdll!ZwSetTimerEx
164 ntdll!ZwSetTimerResolution
165 ntdll!NtSetUuidSeed
166 ntdll!NtSetValueKey
167 ntdll!ZwSetVolumeInformationFile
168 ntdll!ZwShutdownSystem
