0x1024 USER32!NtUserSetWindowPos
0x1025 USER32!NtUserShowCaret
0x1025 USER32!NtUserShowCaret
0x1026 USER32!NtUserEndDeferWindowPosEx
0x1026 USER32!NtUserEndDeferWindowPosEx
0x1027 USER32!NtUserCallHwndParamLock
0x1027 USER32!NtUserCallHwndParamLock
0x1028 USER32!NtUserVkKeyScanEx
0x1028 USER32!NtUserVkKeyScanEx
0x1029 GDI32!NtGdiSetDIBitsToDeviceInternal
0x1029 GDI32!NtGdiSetDIBitsToDeviceInternal
0x102A USER32!NtUserCallTwoParam
0x102A USER32!NtUserCallTwoParam
0x102B GDI32!NtGdiGetRandomRgn
0x102B GDI32!NtGdiGetRandomRgn
0x102C USER32!NtUserCopyAcceleratorTable
0x102C USER32!NtUserCopyAcceleratorTable
0x102D USER32!NtUserNotifyWinEvent
0x102D USER32!NtUserNotifyWinEvent
0x102E GDI32!NtGdiExtSelectClipRgn
0x102E GDI32!NtGdiExtSelectClipRgn
0x102F USER32!NtUserIsClipboardFormatAvailable
0x102F USER32!NtUserIsClipboardFormatAvailable
0x1030 USER32!NtUserSetScrollInfo
0x1030 USER32!NtUserSetScrollInfo
0x1031 GDI32!NtGdiStretchBlt
0x1031 GDI32!NtGdiStretchBlt
0x1032 USER32!NtUserCreateCaret
0x1032 USER32!NtUserCreateCaret
0x1033 GDI32!NtGdiRectVisible
0x1033 GDI32!NtGdiRectVisible
0x1034 GDI32!NtGdiCombineRgn
0x1034 GDI32!NtGdiCombineRgn
0x1035 GDI32!NtGdiGetDCObject
0x1035 GDI32!NtGdiGetDCObject
0x1036 USER32!NtUserDispatchMessage
0x1036 USER32!NtUserDispatchMessage
0x1037 USER32!NtUserRegisterWindowMessage
0x1037 USER32!NtUserRegisterWindowMessage
0x1038 GDI32!NtGdiExtTextOutW
0x1038 GDI32!NtGdiExtTextOutW
0x1039 GDI32!NtGdiSelectFont
0x1039 GDI32!NtGdiSelectFont
0x103A GDI32!NtGdiRestoreDC
0x103A GDI32!NtGdiRestoreDC
0x103B GDI32!NtGdiSaveDC
